# # box width [nm], diff. coeff. [rad^2/ps], err(diff. coeff.) [rad^2/ps]
1.204740000000000144e+01 1.343431418636411391e-06 7.005838670487605791e-08
2.409513333333333662e+01 1.423512642748158495e-06 3.077096982736567413e-08
3.614500000000000313e+01 1.391798982986465657e-06 2.819475520374452428e-08
4.819610000000000127e+01 1.407834117753640451e-06 3.320585636479103761e-08
6.024080000000000013e+01 1.460961816463445445e-06 3.509784295438259124e-08
8.433549999999999613e+01 1.487428119415011394e-06 2.422529415807064291e-08
1.204789999999999992e+02 1.496258986956177226e-06 2.286739943890539503e-08
1.807199999999999989e+02 1.471585757698906709e-06 1.593827111785603578e-08
2.409619999999999891e+02 1.471807378292363282e-06 1.792005731157930871e-08
3.012040000000000077e+02 1.465730918203489638e-06 1.872833941558419822e-08
3.614460000000000264e+02 1.462189393668334103e-06 2.093401996417254828e-08
