# # box width [nm], diff. coeff. [rad^2/ps], err(diff. coeff.) [rad^2/ps]
6.881284999999999208e+00 9.336883352010146696e-07 2.142441157071150914e-08
7.793994999999999784e+00 1.079326790538792754e-06 4.076602294479730105e-08
9.385426666666667472e+00 1.226634958557203689e-06 3.687454957241759598e-08
1.029048333333333254e+01 1.392522423264317828e-06 3.755426417959269476e-08
1.204744999999999955e+01 1.415605273810127312e-06 4.882396826605212630e-08
1.452698333333333203e+01 1.546692159734890217e-06 4.416490295464944334e-08
1.696304999999999907e+01 1.482942071455679861e-06 4.332634214102048067e-08
1.862891666666666524e+01 1.560475807198304327e-06 5.655651839328030910e-08
2.111000000000000298e+01 1.452329758817554935e-06 5.157835209102086356e-08
2.521651666666666713e+01 1.493890608960070156e-06 6.315055805652434049e-08
2.934378333333333444e+01 1.629034071422269873e-06 6.211885072303153288e-08
